method,cld,kendall_tau,mean_absolute_error,mean_squared_error,pearsonr,r2,spearmanr,owner_slug,report_url
competition-prediction-eeizFt9s2C0HThEyGM5dK,a,0.626 ± 0.016,0.509 ± 0.022,0.514 ± 0.064,0.789 ± 0.028,0.594 ± 0.048,0.816 ± 0.018,oscar-mendez-lucio,https://www.nature.com/articles/s41467-024-53751-y
competition-prediction-1MhGQMitUFqR2FcUhRllg,b,0.649 ± 0.018,0.516 ± 0.022,0.529 ± 0.068,0.813 ± 0.029,0.603 ± 0.051,0.823 ± 0.020,ccorbi,https://gist.github.com/shug3502/f0fe74f443d1d82fa73bf869148c7cdc
competition-prediction-FLUT3zC27jxaWLpo6Aoge,b,0.614 ± 0.018,0.517 ± 0.021,0.515 ± 0.062,0.788 ± 0.029,0.598 ± 0.044,0.792 ± 0.021,siat353,https://drive.google.com/file/d/1axeFC3gxcVGKPDwVZO2Tyi7W9Mz2ztLN/view?usp=drive_link
competition-prediction-blnBskG8gooYdhc29wEuu,bc,0.612 ± 0.018,0.518 ± 0.022,0.537 ± 0.067,0.794 ± 0.027,0.594 ± 0.046,0.798 ± 0.020,xubf,https://docs.google.com/document/d/14NaFXBsCToKCyRTV2EiV7dTxBsBz_9R8ZWkTkLiovQk
competition-prediction-4eEPLwJrPGLtBVbc21paz,c,0.628 ± 0.017,0.522 ± 0.022,0.536 ± 0.062,0.800 ± 0.027,0.588 ± 0.042,0.811 ± 0.019,alx-dga,https://drive.google.com/file/d/1jUPsolAyrgZ-mIxi5AAMYKBigjniNVCf/view?usp=sharing
competition-prediction-late-s9EUvo7CepdKaV65Yj3MO,d,0.634 ± 0.018,0.532 ± 0.022,0.540 ± 0.062,0.806 ± 0.028,0.585 ± 0.042,0.812 ± 0.020,luispintoc,https://docs.google.com/document/d/124EmRMeXIZlXGmYmErVVvb5DLWnU_A_dXgwH43TAvvk/edit?usp=sharing
competition-prediction-mFXaxyz6aVQUTHZmXBbKv,e,0.620 ± 0.017,0.539 ± 0.021,0.528 ± 0.059,0.807 ± 0.027,0.593 ± 0.040,0.807 ± 0.019,ryan-deepmirror,https://docs.google.com/document/d/1zFNA_CKfGRGbdzFXX8dOhkLIOFBybe6pn3H7X8qd6nY/edit?usp=sharing
competition-prediction-64eAZRW5acEnQ4QZfrrVB,f,0.620 ± 0.017,0.544 ± 0.022,0.546 ± 0.061,0.801 ± 0.028,0.581 ± 0.042,0.804 ± 0.020,rced,https://github.com/cedenoruel/sub_antiviral25
competition-prediction-JMFyxShsgcjYFnRzZQFFK,f,0.605 ± 0.017,0.548 ± 0.022,0.552 ± 0.059,0.787 ± 0.025,0.575 ± 0.039,0.793 ± 0.018,dodo,https://tinyurl.com/dodo-potency
competition-prediction-YbG9mZ88TW0VZyLxXbthw,g,0.612 ± 0.018,0.554 ± 0.021,0.561 ± 0.062,0.792 ± 0.028,0.573 ± 0.041,0.793 ± 0.020,sina,https://github.com/khosravisina/Polaris-potency-report/tree/main
competition-prediction-9Yrcg7omjLhpejG2mfZXp,g,0.594 ± 0.018,0.555 ± 0.022,0.570 ± 0.062,0.776 ± 0.027,0.561 ± 0.043,0.779 ± 0.020,gufan1998,https://docs.google.com/document/d/1B2I1pnHB32qy_CmbFXAWgNfNG-4qn_C2/edit?usp=sharing&ouid=108734974888240888578&rtpof=true&sd=true
competition-prediction-LTj8nDyZE1cYCYaRzVols,h,0.602 ± 0.017,0.561 ± 0.021,0.554 ± 0.057,0.782 ± 0.025,0.570 ± 0.036,0.786 ± 0.020,wim0,https://molecular.beauty/blog/2025/03/13/polaris.html
competition-prediction-u6GoQ1bnenK7gjAHUdmrb,h,0.608 ± 0.018,0.564 ± 0.021,0.559 ± 0.060,0.794 ± 0.028,0.570 ± 0.040,0.794 ± 0.020,austint,https://github.com/AustinT/asap-2025-challenge-gp
competition-prediction-FRAbKFdXri7jeiwx2u81Z,i,0.592 ± 0.016,0.575 ± 0.022,0.610 ± 0.062,0.763 ± 0.024,0.512 ± 0.040,0.787 ± 0.017,jacksonburns,https://github.com/JacksonBurns/neural-pairwise-regression/blob/main/meta
competition-prediction-3FguUuXRH3w5o5CZ75KVD,j,0.605 ± 0.016,0.600 ± 0.021,0.595 ± 0.058,0.796 ± 0.027,0.542 ± 0.036,0.801 ± 0.017,caithmac,https://github.com/caithmac/polaris_potency_mpro
competition-prediction-4B5yo8ShntdJXDDDPTLpr,j,0.560 ± 0.019,0.602 ± 0.024,0.655 ± 0.068,0.747 ± 0.030,0.489 ± 0.041,0.752 ± 0.022,talagayev,https://github.com/talagayev/polaris_antiviral_challenge/blob/main/ADMET_MPNN/report.md
competition-prediction-wNi5FK6MaefmrF2LqbFr6,k,0.497 ± 0.021,0.656 ± 0.028,0.849 ± 0.081,0.670 ± 0.032,0.354 ± 0.055,0.676 ± 0.026,steffen-wedig,https://drive.google.com/file/d/1ZkPnvkzNaEYe45fLpGZyNUvU9rnM_oDq/view?usp=sharing
competition-prediction-0NvSmNhHEVTr9dYwNTJB9,k,0.540 ± 0.020,0.660 ± 0.024,0.746 ± 0.070,0.725 ± 0.032,0.437 ± 0.043,0.726 ± 0.024,wolberlab,https://github.com/talagayev/polaris_antiviral_challenge/blob/main/Preliminary_prediction_protocol_2nd_submission.md
competition-prediction-W629EUTViiRp72beZuA5U,l,0.552 ± 0.017,0.676 ± 0.025,0.808 ± 0.074,0.705 ± 0.030,0.374 ± 0.044,0.748 ± 0.019,nnnty,https://github.com/yul533/polaris-antiviral-challenge/blob/main/potency%20prediction%202
competition-prediction-bqUftovjZSaYp2RepD76e,m,0.545 ± 0.019,0.687 ± 0.022,0.743 ± 0.063,0.733 ± 0.030,0.434 ± 0.040,0.728 ± 0.023,azminewasi,https://github.com/azminewasi/polaris-antiviral-competition/blob/main/antiviral-potency-2025/report/report.pdf
competition-prediction-5RJGGvBhxyKc5YjHbsb0g,n,0.530 ± 0.018,0.697 ± 0.025,0.852 ± 0.077,0.679 ± 0.030,0.339 ± 0.045,0.725 ± 0.021,yul533,https://github.com/yul533/polaris-antiviral-challenge/blob/main/potency%20prediction
competition-prediction-4j4z6oqcwr72GzgT4cQ6R,o,0.575 ± 0.018,0.702 ± 0.026,0.857 ± 0.070,0.750 ± 0.028,0.286 ± 0.037,0.762 ± 0.020,wtrd,https://docs.google.com/document/d/1464wiMCWdncfWoMIpL4WHI31qOECqeBq0CEhwiAAfW4/edit?usp=sharing
competition-prediction-a9l9rEDGgw5wDcnMn3fud,p,0.582 ± 0.019,0.712 ± 0.024,0.827 ± 0.059,0.758 ± 0.030,0.313 ± 0.046,0.766 ± 0.022,bkaminow,https://github.com/kaminow/asap-polaris-challenge-potency-2025/blob/main/report.md
competition-prediction-pr9pVVQedDD3mD0WXrWMg,q,0.518 ± 0.019,0.748 ± 0.026,0.909 ± 0.071,0.705 ± 0.029,0.319 ± 0.045,0.713 ± 0.023,kysun,https://docs.google.com/document/d/1YVxVi-zMc7rX0TrvO7SIZfkQ-uUx3ChdtV4oovq80ts/edit?usp=sharing
competition-prediction-late-L7MCXqhAWm3ADNfCMTxFS,r,0.543 ± 0.021,0.764 ± 0.029,1.029 ± 0.086,0.689 ± 0.030,0.191 ± 0.048,0.725 ± 0.025,longhung25,https://docs.google.com/document/d/140sY_Rx_YPEnaw4TbuvuuaO4rq1F29TvNHh779Me5Jc/edit?usp=sharing
competition-prediction-ReoR53l5wBTRr6Py011Fn,s,0.573 ± 0.017,0.772 ± 0.026,0.972 ± 0.071,0.748 ± 0.026,0.299 ± 0.041,0.770 ± 0.018,danialshah353,https://drive.google.com/file/d/1xrmgHAFcyRDAGTQTEeHn83GxuQBfm4cr/view?usp=sharing
competition-prediction-qg5PVWDLbiN5ndytwYPta,t,0.508 ± 0.021,0.822 ± 0.027,1.074 ± 0.075,0.689 ± 0.033,0.194 ± 0.038,0.691 ± 0.027,hbaumann,https://github.com/meyresearch/polaris_challenge/tree/main
competition-prediction-9Aaxri873JWxewEcbzl9j,u,0.523 ± 0.019,0.853 ± 0.030,1.190 ± 0.098,0.696 ± 0.031,0.101 ± 0.069,0.714 ± 0.023,kbishop,https://docs.google.com/document/d/1exokoYptuwRllvnQp_S42ZW3ecDc6zdk/edit?usp=sharing&ouid=111958341380201258210&rtpof=true&sd=true
competition-prediction-NJdr6C8caPRWhUp0KSA4J,u,0.541 ± 0.018,0.857 ± 0.027,1.148 ± 0.071,0.740 ± 0.026,0.155 ± 0.039,0.732 ± 0.020,hmacdope,https://github.com/asapdiscovery/asap-polaris-challenge-baselines
competition-prediction-fTl3CZi7ZKnrswuuFasqs,v,0.568 ± 0.015,0.990 ± 0.032,1.678 ± 0.105,0.760 ± 0.025,-0.106 ± 0.064,0.776 ± 0.015,kriegegroup,https://docs.google.com/document/d/1mth0dsjh6ir_qEQt-3CW7YsZHR1LK2jF6rsguKbd89M/edit?usp=sharing
competition-prediction-A5j8QDEsevsGLLhzPGNh2,w,0.602 ± 0.016,1.053 ± 0.056,2.921 ± 0.293,0.618 ± 0.021,-1.217 ± 0.238,0.800 ± 0.016,geosmina,https://github.com/jaaisu/polaris_challenge/blob/main/README.md
competition-prediction-Urln41KPESzYx2ao4tGbC,x,0.321 ± 0.027,1.146 ± 0.039,2.178 ± 0.159,0.392 ± 0.050,-0.570 ± 0.107,0.455 ± 0.037,ialibay,https://github.com/meyresearch/polaris_challenge/tree/main
